Date,Product,Category,Quantity Sold,Unit Price,Revenue,Prescription Required
2023-01-04,Ibuprofen 200mg,Analgesic,36,0.35,12.6,No
2023-01-04,Cetirizine 10mg,Antihistamine,25,0.29,7.25,No
2023-01-04,Amoxicillin 500mg,Antibiotic,37,0.85,31.45,Yes
2023-01-04,Azithromycin 250mg,Antibiotic,34,1.13,38.42,Yes
2023-01-04,Metformin 500mg,Antidiabetic,30,0.63,18.9,Yes
2023-01-04,Amlodipine 5mg,Cardiac,29,0.7,20.3,Yes
2023-01-04,Omeprazole 20mg,Gastro,28,0.55,15.4,No
2023-01-04,Salbutamol Inhaler,Respiratory,38,3.83,145.54,Yes
2023-01-04,Vitamin C 1000mg,Supplement,20,0.42,8.4,No
2023-01-05,Paracetamol 500mg,Analgesic,32,0.27,8.64,No
2023-01-05,Ibuprofen 200mg,Analgesic,25,0.36,9.0,No
2023-01-05,Cetirizine 10mg,Antihistamine,33,0.33,10.89,No
2023-01-05,Amoxicillin 500mg,Antibiotic,25,0.78,19.5,Yes
2023-01-05,Azithromycin 250mg,Antibiotic,37,1.07,39.59,Yes
2023-01-05,Metformin 500mg,Antidiabetic,20,0.64,12.8,Yes
2023-01-05,Amlodipine 5mg,Cardiac,30,0.73,21.9,Yes
2023-01-05,Omeprazole 20mg,Gastro,40,0.58,23.2,No
2023-01-05,Salbutamol Inhaler,Respiratory,33,3.35,110.55,Yes
2023-01-05,Vitamin C 1000mg,Supplement,22,0.4,8.8,No
2023-01-06,Paracetamol 500mg,Analgesic,38,0.26,9.88,No
2023-01-06,Ibuprofen 200mg,Analgesic,18,0.38,6.84,No
2023-01-06,Cetirizine 10mg,Antihistamine,39,0.31,12.09,No
2023-01-06,Amoxicillin 500mg,Antibiotic,31,0.88,27.28,Yes
2023-01-06,Azithromycin 250mg,Antibiotic,28,1.06,29.68,Yes
2023-01-06,Metformin 500mg,Antidiabetic,36,0.61,21.96,Yes
2023-01-06,Amlodipine 5mg,Cardiac,26,0.71,18.46,Yes
2023-01-06,Omeprazole 20mg,Gastro,43,0.55,23.65,No
2023-01-06,Salbutamol Inhaler,Respiratory,29,3.34,96.86,Yes
2023-01-06,Vitamin C 1000mg,Supplement,34,0.43,14.62,No
2023-01-07,Paracetamol 500mg,Analgesic,22,0.24,5.28,No
2023-01-07,Ibuprofen 200mg,Analgesic,14,0.35,4.9,No
2023-01-07,Cetirizine 10mg,Antihistamine,24,0.32,7.68,No
2023-01-07,Amoxicillin 500mg,Antibiotic,31,0.87,26.97,Yes
2023-01-07,Azithromycin 250mg,Antibiotic,32,1.14,36.48,Yes
2023-01-07,Metformin 500mg,Antidiabetic,24,0.64,15.36,Yes
2023-01-07,Amlodipine 5mg,Cardiac,21,0.77,16.17,Yes
2023-01-07,Omeprazole 20mg,Gastro,33,0.56,18.48,No
2023-01-07,Salbutamol Inhaler,Respiratory,31,3.41,105.71,Yes
2023-01-07,Vitamin C 1000mg,Supplement,17,0.41,6.97,No
2023-01-08,Paracetamol 500mg,Analgesic,36,0.27,9.72,No
2023-01-08,Ibuprofen 200mg,Analgesic,36,0.38,13.68,No
2023-01-08,Cetirizine 10mg,Antihistamine,19,0.32,6.08,No
2023-01-08,Amoxicillin 500mg,Antibiotic,23,0.8,18.4,Yes
2023-01-08,Azithromycin 250mg,Antibiotic,38,1.09,41.42,Yes
2023-01-08,Metformin 500mg,Antidiabetic,11,0.59,6.49,Yes
2023-01-08,Amlodipine 5mg,Cardiac,18,0.68,12.24,Yes
2023-01-08,Omeprazole 20mg,Gastro,15,0.57,8.55,No
2023-01-08,Salbutamol Inhaler,Respiratory,33,3.49,115.17,Yes
2023-01-08,Vitamin C 1000mg,Supplement,34,0.44,14.96,No
2023-01-09,Paracetamol 500mg,Analgesic,29,0.24,6.96,No
2023-01-09,Ibuprofen 200mg,Analgesic,34,0.34,11.56,No
2023-01-09,Cetirizine 10mg,Antihistamine,10,0.31,3.1,No
2023-01-09,Amoxicillin 500mg,Antibiotic,32,0.83,26.56,Yes
2023-01-09,Azithromycin 250mg,Antibiotic,27,1.16,31.32,Yes
2023-01-09,Metformin 500mg,Antidiabetic,17,0.58,9.86,Yes
2023-01-09,Amlodipine 5mg,Cardiac,29,0.71,20.59,Yes
2023-01-09,Omeprazole 20mg,Gastro,19,0.56,10.64,No
2023-01-09,Salbutamol Inhaler,Respiratory,34,3.48,118.32,Yes
2023-01-09,Vitamin C 1000mg,Supplement,32,0.38,12.16,No
2023-01-10,Paracetamol 500mg,Analgesic,33,0.24,7.92,No
2023-01-10,Ibuprofen 200mg,Analgesic,31,0.35,10.85,No
2023-01-10,Cetirizine 10mg,Antihistamine,22,0.33,7.26,No
2023-01-10,Amoxicillin 500mg,Antibiotic,43,0.82,35.26,Yes
2023-01-10,Azithromycin 250mg,Antibiotic,34,1.06,36.04,Yes
2023-01-10,Metformin 500mg,Antidiabetic,36,0.64,23.04,Yes
2023-01-10,Amlodipine 5mg,Cardiac,28,0.73,20.44,Yes
2023-01-10,Omeprazole 20mg,Gastro,20,0.55,11.0,No
2023-01-10,Salbutamol Inhaler,Respiratory,42,3.78,158.76,Yes
2023-01-10,Vitamin C 1000mg,Supplement,23,0.39,8.97,No
2023-01-11,Paracetamol 500mg,Analgesic,20,0.27,5.4,No
2023-01-11,Ibuprofen 200mg,Analgesic,31,0.34,10.54,No
2023-01-11,Cetirizine 10mg,Antihistamine,30,0.32,9.6,No
2023-01-11,Amoxicillin 500mg,Antibiotic,29,0.78,22.62,Yes
2023-01-11,Azithromycin 250mg,Antibiotic,43,1.09,46.87,Yes
2023-01-11,Metformin 500mg,Antidiabetic,42,0.58,24.36,Yes
2023-01-11,Amlodipine 5mg,Cardiac,30,0.68,20.4,Yes
2023-01-11,Omeprazole 20mg,Gastro,15,0.57,8.55,No
2023-01-11,Salbutamol Inhaler,Respiratory,30,3.49,104.7,Yes
2023-01-11,Vitamin C 1000mg,Supplement,36,0.43,15.48,No
2023-01-12,Paracetamol 500mg,Analgesic,39,0.24,9.36,No
2023-01-12,Ibuprofen 200mg,Analgesic,49,0.35,17.15,No
2023-01-12,Cetirizine 10mg,Antihistamine,36,0.29,10.44,No
2023-01-12,Amoxicillin 500mg,Antibiotic,29,0.86,24.94,Yes
2023-01-12,Azithromycin 250mg,Antibiotic,20,1.06,21.2,Yes
2023-01-12,Metformin 500mg,Antidiabetic,20,0.65,13.0,Yes
2023-01-12,Amlodipine 5mg,Cardiac,21,0.75,15.75,Yes
2023-01-12,Omeprazole 20mg,Gastro,44,0.59,25.96,No
2023-01-12,Salbutamol Inhaler,Respiratory,36,3.59,129.24,Yes
2023-01-12,Vitamin C 1000mg,Supplement,24,0.41,9.84,No
2023-01-13,Paracetamol 500mg,Analgesic,39,0.25,9.75,No
2023-01-13,Ibuprofen 200mg,Analgesic,26,0.36,9.36,No
2023-01-13,Cetirizine 10mg,Antihistamine,26,0.3,7.8,No
2023-01-13,Amoxicillin 500mg,Antibiotic,30,0.8,24.0,Yes
2023-01-13,Azithromycin 250mg,Antibiotic,25,1.09,27.25,Yes
2023-01-13,Metformin 500mg,Antidiabetic,31,0.65,20.15,Yes
2023-01-13,Amlodipine 5mg,Cardiac,44,0.72,31.68,Yes
2023-01-13,Omeprazole 20mg,Gastro,35,0.58,20.3,No
2023-01-13,Salbutamol Inhaler,Respiratory,21,3.66,76.86,Yes
2023-01-13,Vitamin C 1000mg,Supplement,37,0.42,15.54,No
2023-01-14,Paracetamol 500mg,Analgesic,16,0.27,4.32,No
2023-01-14,Ibuprofen 200mg,Analgesic,18,0.36,6.48,No
2023-01-14,Cetirizine 10mg,Antihistamine,33,0.29,9.57,No
2023-01-14,Amoxicillin 500mg,Antibiotic,11,0.78,8.58,Yes
2023-01-14,Azithromycin 250mg,Antibiotic,33,1.14,37.62,Yes
2023-01-14,Metformin 500mg,Antidiabetic,37,0.64,23.68,Yes
2023-01-14,Amlodipine 5mg,Cardiac,35,0.73,25.55,Yes
2023-01-14,Omeprazole 20mg,Gastro,33,0.57,18.81,No
2023-01-14,Salbutamol Inhaler,Respiratory,21,3.63,76.23,Yes
2023-01-14,Vitamin C 1000mg,Supplement,10,0.41,4.1,No
2023-01-15,Paracetamol 500mg,Analgesic,32,0.26,8.32,No
2023-01-15,Ibuprofen 200mg,Analgesic,25,0.38,9.5,No
2023-01-15,Cetirizine 10mg,Antihistamine,28,0.29,8.12,No
2023-01-15,Amoxicillin 500mg,Antibiotic,16,0.81,12.96,Yes
2023-01-15,Azithromycin 250mg,Antibiotic,37,1.1,40.7,Yes
2023-01-15,Metformin 500mg,Antidiabetic,32,0.64,20.48,Yes
2023-01-15,Amlodipine 5mg,Cardiac,25,0.7,17.5,Yes
2023-01-15,Omeprazole 20mg,Gastro,19,0.53,10.07,No
2023-01-15,Salbutamol Inhaler,Respiratory,12,3.53,42.36,Yes
2023-01-15,Vitamin C 1000mg,Supplement,39,0.41,15.99,No
2023-01-16,Paracetamol 500mg,Analgesic,44,0.26,11.44,No
2023-01-16,Ibuprofen 200mg,Analgesic,43,0.38,16.34,No
2023-01-16,Cetirizine 10mg,Antihistamine,19,0.29,5.51,No
2023-01-16,Amoxicillin 500mg,Antibiotic,43,0.84,36.12,Yes
2023-01-16,Azithromycin 250mg,Antibiotic,25,1.16,29.0,Yes
2023-01-16,Metformin 500mg,Antidiabetic,20,0.61,12.2,Yes
2023-01-16,Amlodipine 5mg,Cardiac,33,0.71,23.43,Yes
2023-01-16,Omeprazole 20mg,Gastro,37,0.55,20.35,No
2023-01-16,Salbutamol Inhaler,Respiratory,31,3.38,104.78,Yes
2023-01-16,Vitamin C 1000mg,Supplement,35,0.43,15.05,No
2023-01-17,Paracetamol 500mg,Analgesic,38,0.24,9.12,No
2023-01-17,Ibuprofen 200mg,Analgesic,25,0.34,8.5,No
2023-01-17,Cetirizine 10mg,Antihistamine,38,0.3,11.4,No
2023-01-17,Amoxicillin 500mg,Antibiotic,41,0.85,34.85,Yes
2023-01-17,Azithromycin 250mg,Antibiotic,38,1.15,43.7,Yes
2023-01-17,Metformin 500mg,Antidiabetic,20,0.57,11.4,Yes
2023-01-17,Amlodipine 5mg,Cardiac,14,0.75,10.5,Yes
2023-01-17,Omeprazole 20mg,Gastro,13,0.59,7.67,No
2023-01-17,Salbutamol Inhaler,Respiratory,26,3.81,99.06,Yes
2023-01-17,Vitamin C 1000mg,Supplement,18,0.42,7.56,No
2023-01-18,Paracetamol 500mg,Analgesic,39,0.24,9.36,No
2023-01-18,Ibuprofen 200mg,Analgesic,39,0.37,14.43,No
2023-01-18,Cetirizine 10mg,Antihistamine,29,0.29,8.41,No
2023-01-18,Amoxicillin 500mg,Antibiotic,29,0.78,22.62,Yes
2023-01-18,Azithromycin 250mg,Antibiotic,19,1.21,22.99,Yes
2023-01-18,Metformin 500mg,Antidiabetic,19,0.57,10.83,Yes
2023-01-18,Amlodipine 5mg,Cardiac,19,0.76,14.44,Yes
2023-01-18,Omeprazole 20mg,Gastro,28,0.54,15.12,No
2023-01-18,Salbutamol Inhaler,Respiratory,25,3.84,96.0,Yes
2023-01-18,Vitamin C 1000mg,Supplement,17,0.43,7.31,No
2023-01-19,Paracetamol 500mg,Analgesic,25,0.24,6.0,No
2023-01-19,Ibuprofen 200mg,Analgesic,38,0.35,13.3,No
2023-01-19,Cetirizine 10mg,Antihistamine,31,0.31,9.61,No
2023-01-19,Amoxicillin 500mg,Antibiotic,36,0.78,28.08,Yes
2023-01-19,Azithromycin 250mg,Antibiotic,30,1.12,33.6,Yes
2023-01-19,Metformin 500mg,Antidiabetic,37,0.58,21.46,Yes
2023-01-19,Amlodipine 5mg,Cardiac,46,0.71,32.66,Yes
2023-01-19,Omeprazole 20mg,Gastro,25,0.57,14.25,No
2023-01-19,Salbutamol Inhaler,Respiratory,42,3.44,144.48,Yes
2023-01-19,Vitamin C 1000mg,Supplement,22,0.4,8.8,No
2023-01-20,Paracetamol 500mg,Analgesic,42,0.26,10.92,No
2023-01-20,Ibuprofen 200mg,Analgesic,20,0.36,7.2,No
2023-01-20,Cetirizine 10mg,Antihistamine,25,0.31,7.75,No
2023-01-20,Amoxicillin 500mg,Antibiotic,33,0.8,26.4,Yes
2023-01-20,Azithromycin 250mg,Antibiotic,27,1.12,30.24,Yes
2023-01-20,Metformin 500mg,Antidiabetic,39,0.6,23.4,Yes
2023-01-20,Amlodipine 5mg,Cardiac,49,0.76,37.24,Yes
2023-01-20,Omeprazole 20mg,Gastro,32,0.56,17.92,No
2023-01-20,Salbutamol Inhaler,Respiratory,35,3.49,122.15,Yes
2023-01-20,Vitamin C 1000mg,Supplement,29,0.41,11.89,No
2023-01-21,Paracetamol 500mg,Analgesic,17,0.27,4.59,No
2023-01-21,Ibuprofen 200mg,Analgesic,17,0.35,5.95,No
2023-01-21,Cetirizine 10mg,Antihistamine,26,0.3,7.8,No
2023-01-21,Amoxicillin 500mg,Antibiotic,16,0.76,12.16,Yes
2023-01-21,Azithromycin 250mg,Antibiotic,19,1.11,21.09,Yes
2023-01-21,Metformin 500mg,Antidiabetic,35,0.62,21.7,Yes
2023-01-21,Amlodipine 5mg,Cardiac,20,0.77,15.4,Yes
2023-01-21,Omeprazole 20mg,Gastro,23,0.59,13.57,No
2023-01-21,Salbutamol Inhaler,Respiratory,25,3.7,92.5,Yes
2023-01-21,Vitamin C 1000mg,Supplement,19,0.42,7.98,No
2023-01-22,Paracetamol 500mg,Analgesic,24,0.26,6.24,No
2023-01-22,Ibuprofen 200mg,Analgesic,16,0.34,5.44,No
2023-01-22,Cetirizine 10mg,Antihistamine,28,0.31,8.68,No
2023-01-22,Amoxicillin 500mg,Antibiotic,30,0.88,26.4,Yes
2023-01-22,Azithromycin 250mg,Antibiotic,33,1.11,36.63,Yes
2023-01-22,Metformin 500mg,Antidiabetic,21,0.64,13.44,Yes
2023-01-22,Amlodipine 5mg,Cardiac,19,0.68,12.92,Yes
2023-01-22,Omeprazole 20mg,Gastro,20,0.6,12.0,No
2023-01-22,Salbutamol Inhaler,Respiratory,31,3.48,107.88,Yes
2023-01-22,Vitamin C 1000mg,Supplement,13,0.42,5.46,No
2023-01-23,Paracetamol 500mg,Analgesic,35,0.25,8.75,No
2023-01-23,Ibuprofen 200mg,Analgesic,28,0.37,10.36,No
2023-01-23,Cetirizine 10mg,Antihistamine,31,0.32,9.92,No
2023-01-23,Amoxicillin 500mg,Antibiotic,36,0.8,28.8,Yes
2023-01-23,Azithromycin 250mg,Antibiotic,40,1.18,47.2,Yes
2023-01-23,Metformin 500mg,Antidiabetic,34,0.64,21.76,Yes
2023-01-23,Amlodipine 5mg,Cardiac,36,0.76,27.36,Yes
2023-01-23,Omeprazole 20mg,Gastro,39,0.59,23.01,No
2023-01-23,Salbutamol Inhaler,Respiratory,25,3.53,88.25,Yes
2023-01-23,Vitamin C 1000mg,Supplement,27,0.42,11.34,No
2023-01-24,Paracetamol 500mg,Analgesic,30,0.24,7.2,No
2023-01-24,Ibuprofen 200mg,Analgesic,21,0.38,7.98,No
2023-01-24,Cetirizine 10mg,Antihistamine,37,0.31,11.47,No
2023-01-24,Amoxicillin 500mg,Antibiotic,30,0.79,23.7,Yes
2023-01-24,Azithromycin 250mg,Antibiotic,22,1.21,26.62,Yes
2023-01-24,Metformin 500mg,Antidiabetic,41,0.61,25.01,Yes
2023-01-24,Amlodipine 5mg,Cardiac,46,0.74,34.04,Yes
2023-01-24,Omeprazole 20mg,Gastro,36,0.59,21.24,No
2023-01-24,Salbutamol Inhaler,Respiratory,32,3.71,118.72,Yes
2023-01-24,Vitamin C 1000mg,Supplement,38,0.41,15.58,No
2023-01-25,Paracetamol 500mg,Analgesic,50,0.27,13.5,No
2023-01-25,Ibuprofen 200mg,Analgesic,36,0.37,13.32,No
2023-01-25,Cetirizine 10mg,Antihistamine,44,0.29,12.76,No
2023-01-25,Amoxicillin 500mg,Antibiotic,34,0.85,28.9,Yes
2023-01-25,Azithromycin 250mg,Antibiotic,47,1.12,52.64,Yes
2023-01-25,Metformin 500mg,Antidiabetic,26,0.61,15.86,Yes
2023-01-25,Amlodipine 5mg,Cardiac,22,0.72,15.84,Yes
2023-01-25,Omeprazole 20mg,Gastro,37,0.6,22.2,No
2023-01-25,Salbutamol Inhaler,Respiratory,31,3.52,109.12,Yes
2023-01-25,Vitamin C 1000mg,Supplement,42,0.39,16.38,No
2023-01-26,Paracetamol 500mg,Analgesic,40,0.27,10.8,No
2023-01-26,Ibuprofen 200mg,Analgesic,33,0.37,12.21,No
2023-01-26,Cetirizine 10mg,Antihistamine,28,0.3,8.4,No
2023-01-26,Amoxicillin 500mg,Antibiotic,45,0.86,38.7,Yes
2023-01-26,Azithromycin 250mg,Antibiotic,31,1.16,35.96,Yes
2023-01-26,Metformin 500mg,Antidiabetic,18,0.61,10.98,Yes
2023-01-26,Amlodipine 5mg,Cardiac,41,0.69,28.29,Yes
2023-01-26,Omeprazole 20mg,Gastro,36,0.55,19.8,No
2023-01-26,Salbutamol Inhaler,Respiratory,38,3.63,137.94,Yes
2023-01-26,Vitamin C 1000mg,Supplement,41,0.4,16.4,No
2023-01-27,Paracetamol 500mg,Analgesic,29,0.24,6.96,No
2023-01-27,Ibuprofen 200mg,Analgesic,44,0.37,16.28,No
2023-01-27,Cetirizine 10mg,Antihistamine,35,0.3,10.5,No
2023-01-27,Amoxicillin 500mg,Antibiotic,39,0.78,30.42,Yes
2023-01-27,Azithromycin 250mg,Antibiotic,14,1.11,15.54,Yes
2023-01-27,Metformin 500mg,Antidiabetic,32,0.61,19.52,Yes
2023-01-27,Amlodipine 5mg,Cardiac,31,0.67,20.77,Yes
2023-01-27,Omeprazole 20mg,Gastro,22,0.52,11.44,No
2023-01-27,Salbutamol Inhaler,Respiratory,26,3.51,91.26,Yes
2023-01-27,Vitamin C 1000mg,Supplement,29,0.44,12.76,No
2023-01-28,Paracetamol 500mg,Analgesic,34,0.25,8.5,No
2023-01-28,Ibuprofen 200mg,Analgesic,31,0.34,10.54,No
2023-01-28,Cetirizine 10mg,Antihistamine,29,0.31,8.99,No
2023-01-28,Amoxicillin 500mg,Antibiotic,14,0.83,11.62,Yes
2023-01-28,Azithromycin 250mg,Antibiotic,26,1.08,28.08,Yes
2023-01-28,Metformin 500mg,Antidiabetic,32,0.58,18.56,Yes
2023-01-28,Amlodipine 5mg,Cardiac,23,0.72,16.56,Yes
2023-01-28,Omeprazole 20mg,Gastro,35,0.59,20.65,No
2023-01-28,Salbutamol Inhaler,Respiratory,30,3.85,115.5,Yes
2023-01-28,Vitamin C 1000mg,Supplement,22,0.43,9.46,No
2023-01-29,Paracetamol 500mg,Analgesic,28,0.24,6.72,No
2023-01-29,Ibuprofen 200mg,Analgesic,37,0.34,12.58,No
2023-01-29,Cetirizine 10mg,Antihistamine,22,0.31,6.82,No
2023-01-29,Amoxicillin 500mg,Antibiotic,29,0.76,22.04,Yes
2023-01-29,Azithromycin 250mg,Antibiotic,34,1.05,35.7,Yes
2023-01-29,Metformin 500mg,Antidiabetic,29,0.58,16.82,Yes
2023-01-29,Amlodipine 5mg,Cardiac,36,0.7,25.2,Yes
2023-01-29,Omeprazole 20mg,Gastro,24,0.53,12.72,No
2023-01-29,Salbutamol Inhaler,Respiratory,32,3.69,118.08,Yes
2023-01-29,Vitamin C 1000mg,Supplement,20,0.4,8.0,No
2023-01-30,Paracetamol 500mg,Analgesic,33,0.24,7.92,No
2023-01-30,Ibuprofen 200mg,Analgesic,30,0.38,11.4,No
2023-01-30,Cetirizine 10mg,Antihistamine,21,0.31,6.51,No
2023-01-30,Amoxicillin 500mg,Antibiotic,12,0.81,9.72,Yes
2023-01-30,Azithromycin 250mg,Antibiotic,29,1.09,31.61,Yes
2023-01-30,Metformin 500mg,Antidiabetic,43,0.59,25.37,Yes
2023-01-30,Amlodipine 5mg,Cardiac,40,0.69,27.6,Yes
2023-01-30,Omeprazole 20mg,Gastro,31,0.6,18.6,No
2023-01-30,Salbutamol Inhaler,Respiratory,28,3.7,103.6,Yes
2023-01-30,Vitamin C 1000mg,Supplement,19,0.38,7.22,No
2023-01-31,Paracetamol 500mg,Analgesic,26,0.24,6.24,No
2023-01-31,Ibuprofen 200mg,Analgesic,23,0.33,7.59,No
2023-01-31,Cetirizine 10mg,Antihistamine,14,0.3,4.2,No
2023-01-31,Amoxicillin 500mg,Antibiotic,23,0.83,19.09,Yes
2023-01-31,Azithromycin 250mg,Antibiotic,38,1.19,45.22,Yes
2023-01-31,Metformin 500mg,Antidiabetic,47,0.58,27.26,Yes
2023-01-31,Amlodipine 5mg,Cardiac,41,0.69,28.29,Yes
2023-01-31,Omeprazole 20mg,Gastro,39,0.56,21.84,No
2023-01-31,Salbutamol Inhaler,Respiratory,51,3.51,179.01,Yes
2023-01-31,Vitamin C 1000mg,Supplement,32,0.4,12.8,No
2023-02-01,Paracetamol 500mg,Analgesic,34,0.25,8.5,No
2023-02-01,Ibuprofen 200mg,Analgesic,42,0.35,14.7,No
2023-02-01,Cetirizine 10mg,Antihistamine,42,0.3,12.6,No
2023-02-01,Amoxicillin 500mg,Antibiotic,19,0.78,14.82,Yes
2023-02-01,Azithromycin 250mg,Antibiotic,41,1.17,47.97,Yes
2023-02-01,Metformin 500mg,Antidiabetic,43,0.65,27.95,Yes
2023-02-01,Amlodipine 5mg,Cardiac,21,0.68,14.28,Yes
2023-02-01,Omeprazole 20mg,Gastro,31,0.54,16.74,No
2023-02-01,Salbutamol Inhaler,Respiratory,36,3.33,119.88,Yes
2023-02-01,Vitamin C 1000mg,Supplement,31,0.44,13.64,No
2023-02-02,Paracetamol 500mg,Analgesic,34,0.27,9.18,No
2023-02-02,Ibuprofen 200mg,Analgesic,34,0.36,12.24,No
2023-02-02,Cetirizine 10mg,Antihistamine,22,0.29,6.38,No
2023-02-02,Amoxicillin 500mg,Antibiotic,31,0.8,24.8,Yes
2023-02-02,Azithromycin 250mg,Antibiotic,21,1.05,22.05,Yes
2023-02-02,Metformin 500mg,Antidiabetic,39,0.59,23.01,Yes
2023-02-02,Amlodipine 5mg,Cardiac,42,0.73,30.66,Yes
2023-02-02,Omeprazole 20mg,Gastro,39,0.56,21.84,No
2023-02-02,Salbutamol Inhaler,Respiratory,43,3.62,155.66,Yes
2023-02-02,Vitamin C 1000mg,Supplement,36,0.44,15.84,No
2023-02-03,Paracetamol 500mg,Analgesic,22,0.24,5.28,No
2023-02-03,Ibuprofen 200mg,Analgesic,27,0.36,9.72,No
2023-02-03,Cetirizine 10mg,Antihistamine,27,0.33,8.91,No
2023-02-03,Amoxicillin 500mg,Antibiotic,28,0.84,23.52,Yes
2023-02-03,Azithromycin 250mg,Antibiotic,27,1.07,28.89,Yes
2023-02-03,Metformin 500mg,Antidiabetic,25,0.65,16.25,Yes
2023-02-03,Amlodipine 5mg,Cardiac,42,0.71,29.82,Yes
2023-02-03,Omeprazole 20mg,Gastro,38,0.59,22.42,No
2023-02-03,Salbutamol Inhaler,Respiratory,36,3.71,133.56,Yes
2023-02-03,Vitamin C 1000mg,Supplement,20,0.43,8.6,No
2023-02-04,Paracetamol 500mg,Analgesic,33,0.27,8.91,No
2023-02-04,Ibuprofen 200mg,Analgesic,26,0.37,9.62,No
2023-02-04,Cetirizine 10mg,Antihistamine,30,0.32,9.6,No
2023-02-04,Amoxicillin 500mg,Antibiotic,15,0.88,13.2,Yes
2023-02-04,Azithromycin 250mg,Antibiotic,43,1.19,51.17,Yes
2023-02-04,Metformin 500mg,Antidiabetic,23,0.6,13.8,Yes
2023-02-04,Amlodipine 5mg,Cardiac,24,0.71,17.04,Yes
2023-02-04,Omeprazole 20mg,Gastro,32,0.6,19.2,No
2023-02-04,Salbutamol Inhaler,Respiratory,29,3.52,102.08,Yes
2023-02-04,Vitamin C 1000mg,Supplement,26,0.39,10.14,No
2023-02-05,Paracetamol 500mg,Analgesic,23,0.25,5.75,No
2023-02-05,Ibuprofen 200mg,Analgesic,20,0.35,7.0,No
2023-02-05,Cetirizine 10mg,Antihistamine,18,0.32,5.76,No
2023-02-05,Amoxicillin 500mg,Antibiotic,14,0.78,10.92,Yes
2023-02-05,Azithromycin 250mg,Antibiotic,36,1.12,40.32,Yes
2023-02-05,Metformin 500mg,Antidiabetic,18,0.57,10.26,Yes
2023-02-05,Amlodipine 5mg,Cardiac,16,0.73,11.68,Yes
2023-02-05,Omeprazole 20mg,Gastro,20,0.53,10.6,No
2023-02-05,Salbutamol Inhaler,Respiratory,18,3.73,67.14,Yes
2023-02-05,Vitamin C 1000mg,Supplement,20,0.43,8.6,No
2023-02-06,Paracetamol 500mg,Analgesic,16,0.27,4.32,No
2023-02-06,Ibuprofen 200mg,Analgesic,43,0.34,14.62,No
2023-02-06,Cetirizine 10mg,Antihistamine,44,0.29,12.76,No
2023-02-06,Amoxicillin 500mg,Antibiotic,21,0.83,17.43,Yes
2023-02-06,Azithromycin 250mg,Antibiotic,28,1.09,30.52,Yes
2023-02-06,Metformin 500mg,Antidiabetic,32,0.65,20.8,Yes
2023-02-06,Amlodipine 5mg,Cardiac,26,0.7,18.2,Yes
2023-02-06,Omeprazole 20mg,Gastro,30,0.56,16.8,No
2023-02-06,Salbutamol Inhaler,Respiratory,19,3.43,65.17,Yes
2023-02-06,Vitamin C 1000mg,Supplement,38,0.39,14.82,No
2023-02-07,Paracetamol 500mg,Analgesic,20,0.25,5.0,No
